Correspondent,Assignors,Assignees,Invention Title,Application Date,Publish Date,Issue Date
SCHWEGMAN LUNDBERG & WOESSNER P.A.,SUNDARESAN NEELAKANTAN - GANESAN KAVITA - GRANDHI ROOPNATH - ,EBAY INC. - ,SEARCH CLUSTERING,03-02-2012,19-07-2012,19-11-2013,
MCHALE & SLAVIN P.A.,STEELE ROBERT L - MUSSO ANTHONY FEDELE - MUNDSCHENK DAVID D - VAN DE CASTEELE RUSSELL - ,KRYPTONITE GROUP LTD. - ,ARTEMISININ-BASED COMBINATION THERAPY FOR TREATING VIRAL MEDIATED DISEASE,07-03-2014,11-09-2014,
MH2 TECHNOLOGY LAW GROUP LLP,BODNAR ERIC O. - KIRANI SHEKHAR - EASWAR VENKAT V. - KAHN PHILIPPE R. - KAHN SONIA LEE - ,LIGHTSURF TECHNOLOGIES INC. - ,DIGITAL CAMERA DEVICE AND METHODOLOGY FOR DISTRIBUTED PROCESSING AND WIRELESS TRANSMISSION OF DIGITAL IMAGES,12-05-2008,05-02-2009,03-07-2012,
DTWARD PC,DE FOUGEROLLES ANTONIN - WOOD KRISTY M. - ELBASHIR SAYDA M. - AFEYAN NOUBAR B. - VALENCIA PEDRO - ,MODERNA THERAPEUTICS INC. - ,MODIFIED NUCLEOSIDE NUCLEOTIDE AND NUCLEIC ACID COMPOSITIONS,14-06-2013,10-10-2013,
MCANDREWS HELD & MALLOY LTD.,FUJI ELECTRIC CO. LTD. - ,INTELLECTUALS HIGH-TECH KFT. - ,MAGNETIC MEMORY ELEMENT AND DRIVING METHOD FOR SAME,16-02-2012,31-05-2012,10-06-2014,
MCANDREWS HELD & MALLOY LTD.,FUJI ELECTRIC CO. LTD. - ,INTELLECTUALS HIGH-TECH KFT. - ,MAGNETIC MEMORY ELEMENT METHOD OF DRIVING SAME AND NONVOLATILE STORAGE DEVICE,18-11-2010,17-03-2011,25-09-2012,
MCANDREWS HELD & MALLOY LTD.,FUJI ELECTRIC CO. LTD. - ,INTELLECTUALS HIGH-TECH KFT. - ,MAGNETIC RECORDING ELEMENT,19-09-2011,12-01-2012,30-04-2013,
MCANDREWS HELD & MALLOY LTD.,FUJI ELECTRIC CO. LTD. - ,INTELLECTUALS HIGH-TECH KFT. - ,MAGNETIC MEMORY ELEMENT AND STORAGE DEVICE USING THE SAME,08-12-2011,29-03-2012,20-08-2013,
MCANDREWS HELD & MALLOY LTD.,FUJI ELECTRIC CO. LTD. - ,INTELLECTUALS HIGH-TECH KFT. - ,NON-CONTACT CURRENT SENSOR,05-04-2012,26-07-2012,
MCANDREWS HELD & MALLOY LTD.,FUJI ELECTRIC CO. LTD. - ,INTELLECTUALS HIGH-TECH KFT. - ,SPIN VALVE ELEMENT AND METHOD OF DRIVING SAME,28-07-2010,25-11-2010,02-04-2013,
MCANDREWS HELD & MALLOY LTD.,FUJI ELECTRIC CO. LTD. - ,INTELLECTUALS HIGH-TECH KFT. - ,MAGNETIC MEMORY ELEMENT AND NON-VOLATILE STORAGE DEVICE,03-11-2011,25-10-2012,06-01-2015,
MCANDREWS HELD & MALLOY LTD.,FUJI ELECTRIC CO. LTD. - ,INTELLECTUALS HIGH-TECH KFT. - ,SPIN-VALVE RECORDING ELEMENT AND STORAGE DEVICE,16-02-2011,16-06-2011,25-03-2014,
MCANDREWS HELD & MALLOY LTD.,FUJI ELECTRIC CO. LTD. - ,INTELLECTUALS HIGH-TECH KFT. - ,MAGNETORESISTANCE ELEMENT AND STORAGE DEVICE USING THE SAME,21-06-2011,22-12-2011,04-06-2013,
MCANDREWS HELD & MALLOY LTD.,FUJI ELECTRIC CO. LTD. - ,INTELLECTUALS HIGH-TECH KFT. - ,SPIN VALVE ELEMENT AND METHOD OF MANUFACTURING SAME,28-07-2010,18-11-2010,
MCANDREWS HELD & MALLOY LTD.,FUJI ELECTRIC CO. LTD. - ,INTELLECTUALS HIGH-TECH KFT. - ,MAGNETIC MEMORY ELEMENT DRIVING METHOD FOR THE SAME AND NONVOLATILE STORAGE DEVICE,12-07-2010,11-11-2010,02-10-2012,
MCANDREWS HELD & MALLOY LTD.,FUJI ELECTRIC CO. LTD. - ,INTELLECTUALS HIGH-TECH KFT. - ,MAGNETIC MEMORY ELEMENT DRIVING METHOD FOR SAME AND NONVOLATILE STORAGE DEVICE,21-03-2011,04-08-2011,29-04-2014,
MCANDREWS HELD & MALLOY LTD.,FUJI ELECTRIC CO. LTD. - ,INTELLECTUALS HIGH-TECH KFT. - ,FERROMAGNETIC TUNNEL JUNCTION ELEMENT AND METHOD OF DRIVING FERROMAGNETIC TUNNEL JUNCTION ELEMENT,09-03-2011,07-07-2011,
MCANDREWS HELD & MALLOY LTD.,FUJI ELECTRIC CO. LTD. - ,INTELLECTUALS HIGH-TECH KFT. - ,SPIN VALVE ELEMENT METHOD OF DRIVING THE SAME AND STORAGE DEVICE USING THE SAME,14-01-2011,05-05-2011,18-02-2014,
MCANDREWS HELD & MALLOY LTD.,FUJI ELECTRIC CO. LTD. - ,INTELLECTUALS HIGH-TECH KFT. - ,SPIN VALVE ELEMENT DRIVING METHOD AND SPIN VALVE ELEMENT,17-08-2010,09-12-2010,12-04-2011,
STEVEN H. VERSTEEG,PINEBROOK IMAGING INC. - ,APPLIED MATERIALS INC. - ,Optical Imaging Writer System,10-03-2014,10-07-2014,
JONES DAY,FARRUGIA STEVEN PAUL - SCHINDHELM KLAUS HENRY - ,RESMED LIMITED - ,Modification of Sympathetic Activation and/or Respiratory Function,12-04-2012,09-08-2012,
MCHALE & SLAVIN P.A.,STEELE ROBERT LEWIS - MUSSO ANTHONY FEDELE - MUNDSCHENK DAVID D - VAN DE CASTEELE RUSSELL - ,KRYPTONITE GROUP LTD. - ,ENHANCED ARTEMISININ-BASED COMBINATION THERAPY FOR TREATING PARASITIC MEDIATED DISEASE,07-03-2014,11-09-2014,
WESTERMAN HATTORI DANIELS AND ADRIAN,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,GAS-TURBINE COOLING SYSTEM AND GAS-TURBINE COOLING METHOD,14-07-2014,20-11-2014,
WESTERMAN HATTORI DANIELS AND ADRIAN,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,COMBUSTOR,27-10-2011,23-02-2012,
WESTERMAN HATTORI DANIELS AND ADRIAN,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,REPAIRING METHOD FOR WALL MEMBER WITH FLOW PASSAGES,23-05-2012,01-11-2012,
WESTERMAN HATTORI DANIELS AND ADRIAN,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,PROCESS FOR PRODUCING COMBUSTOR STRUCTURAL MEMBER AND COMBUSTOR STRUCTURAL MEMBER COMBUSTOR FOR GAS TURBINE AND GAS TURBINE,27-05-2010,02-12-2010,
WESTERMAN HATTORI DANIELS AND ADRIAN,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,TURBINE AND TURBINE ROTOR BLADE,26-01-2012,17-05-2012,30-12-2014,
WESTERMAN HATTORI DANIELS AND ADRIAN,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,POWER GENERATION PLANT,20-01-2012,26-07-2012,
WESTERMAN HATTORI DANIELS AND ADRIAN,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,TURBINE BLADE AND GAS TURBINE,30-11-2011,13-09-2012,
WESTERMAN HATTORI DANIELS AND ADRIAN,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,GAS TURBINE AND GAS-TURBINE PLANT HAVING THE SAME,26-12-2012,18-04-2013,
WESTERMAN HATTORI DANIELS AND ADRIAN,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,GAS TURBINE COMBUSTOR,27-06-2014,16-10-2014,
WESTERMAN HATTORI DANIELS AND ADRIAN,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,PROCESS FOR PRODUCING THERMAL BARRIER COATING TURBINE MEMBER PROVIDED WITH THERMAL BARRIER COATING AND GAS TURBINE,23-03-2012,08-08-2013,
WESTERMAN HATTORI DANIELS AND ADRIAN,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,FUEL NOZZLE GAS TURBINE COMBUSTOR WITH THE SAME AND GAS TURBINE WITH THE SAME,24-08-2011,19-07-2012,
WESTERMAN HATTORI DANIELS AND ADRIAN,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,FUEL SUPPLY APPARATUS FUEL-FLOW-RATE-CONTROL UNIT AND GAS-TURBINE POWER GENERATING PLANT,27-12-2012,18-07-2013,
WESTERMAN HATTORI DANIELS AND ADRIAN,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,GAS TURBINE POWER GENERATION SYSTEM AND METHOD OF DETECTING CALORIFIC ABNORMALITY OF THE SAME,26-10-2009,11-03-2010,
WESTERMAN HATTORI DANIELS AND ADRIAN,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,GAS TURBINE POWER PLANT HAVING FUEL HEATING MEANS,20-06-2011,07-06-2012,02-12-2014,
WESTERMAN HATTORI DANIELS AND ADRIAN,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,METHOD FOR REMOVING ARSENIC COMPOUND METHOD FOR RECYCLING NOX REMOVAL CATALYST AND NOX REMOVAL CATALYST,26-09-2013,16-01-2014,
WESTERMAN HATTORI DANIELS AND ADRIAN,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,Fuel supply system for gas turbine combustor and fuel supply method for gas turbine combustor,29-03-2011,23-02-2012,
WESTERMAN HATTORI DANIELS AND ADRIAN,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,TURBINE BLADE CASCADE ENDWALL,08-07-2010,11-11-2010,
WESTERMAN HATTORI DANIELS AND ADRIAN,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,DESULFURIZATION DEVICE AND PARTICULATE COLLECTION SYSTEM,10-09-2012,13-03-2014,
WESTERMAN HATTORI DANIELS AND ADRIAN,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,FILM THICKNESS MEASUREMENT APPARATUS AND FILM THICKNESS MEASUREMENT METHOD,18-02-2014,10-07-2014,
WESTERMAN HATTORI DANIELS AND ADRIAN,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,METHOD OF SEPARATING AND RECOVERING METAL ELEMENTS,23-04-2013,31-10-2013,30-12-2014,
WESTERMAN HATTORI DANIELS AND ADRIAN,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,DISK HOISTING TOOL,22-10-2013,06-11-2014,
WESTERMAN HATTORI DANIELS AND ADRIAN,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,COMMUNICATING STRUCTURE BETWEEN COMBUSTOR AND TURBINE PORTION AND GAS TURBINE,15-06-2012,04-10-2012,
STEVEN H. VERSTEEG,PINEBROOK IMAGING SYSTEMS CORPORATION - ,PINEBROOK IMAGING TECHNOLOGY LTD - ,Pixel Blending For Multiple Charged-Particle Beam Lithography,10-03-2014,10-07-2014,
STEVEN H. VERSTEEG,PINEBROOK IMAGING INC. - ,APPLIED MATERIALS INC. - ,Pixel Blending For Multiple Charged-Particle Beam Lithography,10-03-2014,10-07-2014,
GOODWIN PROCTER LLP,MONTY NATHAN P. - DRESSER CHARLES H. - ,CONVERGENT DENTAL INC. - ,APPARATUS AND METHOD FOR CONTROLLED FLUID COOLING DURING LASER BASED DENTAL TREATMENTS,05-08-2013,05-12-2013,
GOODWIN PROCTER LLP,MONTY NATHAN P. - DRESSER CHARLES H. - GROVES WILLIAM H. JR. - BAFITOS LEONID A. - QUILLARD JON R. - ,CONVERGENT DENTAL INC. - ,DENTAL LASER APPARATUS AND METHOD OF USE WITH INTERCHANGEABLE HAND PIECE AND VARIABLE FOOT PEDAL,04-02-2014,11-12-2014,
MCANDREWS HELD & MALLOY LTD.,FUJI ELECTRIC CO. LTD. - ,INTELLECTUALS HIGH-TECH KFT. - ,SPIN VALVE ELEMENT,09-08-2010,25-11-2010,
JANEEN VILVEN,PENA LOUIS A. - LIN XINHUA - ,BROOKHAVEN SCIENCE ASSOCIATES LLC - ,COMPOSITION AND METHOD FOR DELIVERY OF BMP-2 AMPLIFIER/CO-ACTIVATOR FOR ENHANCEMENT OF OSTEOGENESIS,19-07-2011,15-12-2011,05-08-2014,
KNOBBE MARTENS OLSON & BEAR,BOLOORI ALI-REZA - ,BIOSENSICS LLC - ,INTELLIGENT DEVICE TO MONITOR AND REMIND PATIENTS WITH FOOTWEAR WALKING AIDS BRACES OR ORTHOTICS,13-01-2011,19-07-2012,17-06-2014,
DAVID MADDEN,TANNER WILLIAM F - WEISSFLOCH MARC C. - ,COMPUTER POWER SUPPLY - ,APPARATUS FOR AIDING MANUAL MECHANICAL ALIGNMENT OF OPTICAL EQUIPMENT,21-04-2014,18-12-2014,17-02-2015,
MCANDREWS HELD & MALLOY LTD.,INTELLECTUALS HIGH-TECH KFT. - ,III HOLDINGS 3 LLC - ,MAGNETIC MEMORY ELEMENT AND DRIVING METHOD FOR SAME,16-02-2012,31-05-2012,10-06-2014,
MCANDREWS HELD & MALLOY LTD.,INTELLECTUALS HIGH-TECH KFT. - ,III HOLDINGS 3 LLC - ,MAGNETIC MEMORY ELEMENT METHOD OF DRIVING SAME AND NONVOLATILE STORAGE DEVICE,18-11-2010,17-03-2011,25-09-2012,
MCANDREWS HELD & MALLOY LTD.,INTELLECTUALS HIGH-TECH KFT. - ,III HOLDINGS 3 LLC - ,MAGNETIC RECORDING ELEMENT,19-09-2011,12-01-2012,30-04-2013,
MCANDREWS HELD & MALLOY LTD.,INTELLECTUALS HIGH-TECH KFT. - ,III HOLDINGS 3 LLC - ,MAGNETIC MEMORY ELEMENT AND STORAGE DEVICE USING THE SAME,08-12-2011,29-03-2012,20-08-2013,
MCANDREWS HELD & MALLOY LTD.,INTELLECTUALS HIGH-TECH KFT. - ,III HOLDINGS 3 LLC - ,NON-CONTACT CURRENT SENSOR,05-04-2012,26-07-2012,
MCANDREWS HELD & MALLOY LTD.,INTELLECTUALS HIGH-TECH KFT. - ,III HOLDINGS 3 LLC - ,SPIN VALVE ELEMENT AND METHOD OF DRIVING SAME,28-07-2010,25-11-2010,02-04-2013,
MCANDREWS HELD & MALLOY LTD.,INTELLECTUALS HIGH-TECH KFT. - ,III HOLDINGS 3 LLC - ,MAGNETIC MEMORY ELEMENT AND NON-VOLATILE STORAGE DEVICE,03-11-2011,25-10-2012,06-01-2015,
MCANDREWS HELD & MALLOY LTD.,INTELLECTUALS HIGH-TECH KFT. - ,III HOLDINGS 3 LLC - ,SPIN-VALVE RECORDING ELEMENT AND STORAGE DEVICE,16-02-2011,16-06-2011,25-03-2014,
MCANDREWS HELD & MALLOY LTD.,INTELLECTUALS HIGH-TECH KFT. - ,III HOLDINGS 3 LLC - ,MAGNETORESISTANCE ELEMENT AND STORAGE DEVICE USING THE SAME,21-06-2011,22-12-2011,04-06-2013,
MCANDREWS HELD & MALLOY LTD.,INTELLECTUALS HIGH-TECH KFT. - ,III HOLDINGS 3 LLC - ,SPIN VALVE ELEMENT AND METHOD OF MANUFACTURING SAME,28-07-2010,18-11-2010,
MCANDREWS HELD & MALLOY LTD.,INTELLECTUALS HIGH-TECH KFT. - ,III HOLDINGS 3 LLC - ,MAGNETIC MEMORY ELEMENT DRIVING METHOD FOR THE SAME AND NONVOLATILE STORAGE DEVICE,12-07-2010,11-11-2010,02-10-2012,
MCANDREWS HELD & MALLOY LTD.,INTELLECTUALS HIGH-TECH KFT. - ,III HOLDINGS 3 LLC - ,MAGNETIC MEMORY ELEMENT DRIVING METHOD FOR SAME AND NONVOLATILE STORAGE DEVICE,21-03-2011,04-08-2011,29-04-2014,
MCANDREWS HELD & MALLOY LTD.,INTELLECTUALS HIGH-TECH KFT. - ,III HOLDINGS 3 LLC - ,FERROMAGNETIC TUNNEL JUNCTION ELEMENT AND METHOD OF DRIVING FERROMAGNETIC TUNNEL JUNCTION ELEMENT,09-03-2011,07-07-2011,
MCANDREWS HELD & MALLOY LTD.,INTELLECTUALS HIGH-TECH KFT. - ,III HOLDINGS 3 LLC - ,SPIN VALVE ELEMENT METHOD OF DRIVING THE SAME AND STORAGE DEVICE USING THE SAME,14-01-2011,05-05-2011,18-02-2014,
MCANDREWS HELD & MALLOY LTD.,INTELLECTUALS HIGH-TECH KFT. - ,III HOLDINGS 3 LLC - ,SPIN VALVE ELEMENT DRIVING METHOD AND SPIN VALVE ELEMENT,17-08-2010,09-12-2010,12-04-2011,
JANEEN VILVEN,PENA LOUIS A. - LIN XINHUA - ,BROOKHAVEN SCIENCE ASSOCIATES LLC - ,POSITIVE MODULATOR OF BONE MORPHOGENIC PROTEIN-2,31-01-2008,10-07-2008,
FOLEY & LARDNER LLP,JONELY MICHAEL B. - ,MASTER LOCK COMPANY LLC - ,INTEGRATED ANTENNA COIL IN A METALLIC BODY,14-03-2013,30-01-2014,
ALLERGAN INC.,LIU FUTIAN - MANESIS NICHOLAS J. - YU XIAOJIE - CHAN ATHENE WAN CHIE - ,ALLERGAN INC. - ,POROGEN COMPOSITIONS METHODS OF MAKING AND USES,27-09-2011,29-03-2012,04-11-2014,
YALEI SUN,SUN GANG - LI WENLEI - YIN HUAN - ,HALATION PHOTONICS CORPORATION - ,HIGH SCATTERING SMECTIC LIQUID CRYSTAL MATERIAL AND DISPLAY DEVICE USING THE SAME,03-09-2013,26-12-2013,
MCANDREWS HELD & MALLOY LTD.,INTELLECTUALS HIGH-TECH KFT. - ,III HOLDINGS 3 LLC - ,SPIN VALVE ELEMENT,09-08-2010,25-11-2010,
JANEEN VILVEN,PENA LOUIS A. - LIN XINHUA - ,BROOKHAVEN SCIENCE ASSOCIATES LLC - ,Composition and Method for Delivery of BMP-2 Amplifier/Co-Activator for Enhancement of Osteogenesis,05-08-2014,29-01-2015,
SLATER & MATSIL L.L.P.,BISSON GIOVANNI - FLAIBANI MARCO - PISELLI MARCO - ,INFINEON TECHNOLOGIES AUSTRIA AG - ,Low-Dropout Voltage Regulator,03-10-2014,22-01-2015,
SCOTT T. GRIGGS,SERRAGO DANIEL F. - EMMONS JAMES D. - ,IBEX DENTAL TECHNOLOGIES INC. - ,Vacuum Oven,12-03-2013,25-07-2013,18-11-2014,
STEVEN H. VERSTEEG,PINEBROOK IMAGING TECHNOLOGY LTD - ,PINEBROOK IMAGING INC. - ,Pixel Blending For Multiple Charged-Particle Beam Lithography,10-03-2014,10-07-2014,
LATHAM & WATKINS LLP,ANDO MEDIA LLC - ,MACQUARIE SIERRA INVESTMENT HOLDINGS INC. - ,REAL-TIME MEDIA STREAM INSERTION METHOD AND APPARATUS,22-12-2011,28-06-2012,
LATHAM & WATKINS LLP,ANDO MEDIA LLC - ,MACQUARIE SIERRA INVESTMENT HOLDINGS INC. - ,BROADCAST MEDIA STREAMING WITH CUSTOMIZED PLAYLIST INSERTION METHOD AND SYSTEM,13-01-2012,19-07-2012,
LATHAM & WATKINS LLP,ANDO MEDIA LLC - ,MACQUARIE SIERRA INVESTMENT HOLDINGS INC. - ,LIVE MEDIA SERVING SYSTEM AND METHOD,14-05-2008,19-11-2009,02-04-2013,
LATHAM & WATKINS LLP,ANDO MEDIA LLC - ,MACQUARIE SIERRA INVESTMENT HOLDINGS INC. - ,METHOD OF STREAMING MEDIA AND INSERTING ADDITIONAL CONTENT THEREIN USING BUFFERING,30-04-2008,29-01-2009,
WARD AND SMITH P.A.,GREEN JORDAN J - SUNSHINE JOEL C. - PERICA KARLO - SCHNECK JONATHAN - ,THE JOHNS HOPKINS UNIVERSITY - ,ARTIFICIAL ANTIGEN PRESENTING CELLS HAVING A DEFINED AND DYNAMIC SHAPE,09-06-2014,18-12-2014,
ALLERGAN INC.,LIU FUTIAN - MANESIS NICHOLAS J. - GORALTCHOUK ALEXEI - STROUMPOULIS DIMITRIOS - ,ALLERGAN INC. - ,POROUS MATERIALS METHODS OF MAKING AND USES,28-09-2011,29-03-2012,18-11-2014,
KENYON & KENYON LLP,WOLFF JANPETER - KOETZLE WOLFGANG - SCHOLZEN HOLGER - ,ROBERT BOSCH GMBH - ,PRESSURE MEASURING GLOW PLUG,08-08-2014,15-01-2015,
LISA NORTON,GORMAN SEAN - ,FORTIUS NETWORKS INC. - ,SYSTEM AND METHOD OF MAPPING AND ANALYZING VULNERABILITIES IN NETWORKS,26-02-2013,19-09-2013,
SHOOK HARDY & BACON LLP,SIEMENS AG - ,CERNER INNOVATION INC. - ,METHOD AND SYSTEM TO OPTIMIZE AND AUTOMATE CLINICAL WORKFLOW,14-12-2005,14-06-2007,22-02-2011,
SHOOK HARDY & BACON LLP,SIEMENS AG - ,CERNER INNOVATION INC. - ,SYSTEM FOR GENERATING A MEDICAL KNOWLEDGE BASE,24-05-2012,14-03-2013,28-01-2014,
SHOOK HARDY & BACON LLP,SIEMENS AG - ,CERNER INNOVATION INC. - ,METHOD AND SYSTEM TO OFFER AND TO ACQUIRE CLINICAL KNOWLEDGE USING A CENTRALIZED KNOWLEDGE SERVER,14-12-2005,02-08-2007,23-03-2010,
SHOOK HARDY & BACON LLP,SIEMENS AG - ,CERNER INNOVATION INC. - ,Method for evaluation of patient identification,03-05-2007,06-11-2008,
SHOOK HARDY & BACON LLP,SIEMENS AG - ,CERNER INNOVATION INC. - ,DISEASE ORIENTED USER INTERFACES,15-08-2008,18-02-2010,27-03-2012,
SHOOK HARDY & BACON LLP,SIEMENS AG - ,CERNER INNOVATION INC. - ,CONTROLLING AND OPTIMIZING PATIENT PATHWAYS WITHIN AND ACROSS HEALTH CARE FACILITIES,01-04-2008,01-10-2009,21-02-2012,
SHOOK HARDY & BACON LLP,SIEMENS AG - ,CERNER INNOVATION INC. - ,Method and apparatus for location and presentation of information in an electronic patient record that is relevant to a user in particular to a physician for supporting a decision,07-12-2006,07-06-2007,
SHOOK HARDY & BACON LLP,SIEMENS AG - ,CERNER INNOVATION INC. - ,SEMANTIC SEARCH SYSTEM,14-09-2007,19-03-2009,
KNOBBE MARTENS OLSON & BEAR LLP,HILL RICHARD A - ,GLAUKOS CORPORATION - ,OCULAR IMPLANT SYSTEMS,21-11-2011,22-03-2012,12-11-2013,
KNOBBE MARTENS OLSON & BEAR LLP,HILL RICHARD A - ,GLAUKOS CORPORATION - ,SYSTEM FOR TREATING OCULAR DISORDERS AND METHODS THEREOF,28-04-2008,21-08-2008,13-12-2011,
KNOBBE MARTENS OLSON & BEAR LLP,HILL RICHARD A - ,GLAUKOS CORPORATION - ,DEVICES AND METHODS FOR TREATMENT OF OCULAR   DISORDERS,05-08-2003,27-05-2004,11-01-2011,
KNOBBE MARTENS OLSON & BEAR LLP,HILL RICHARD A - ,GLAUKOS CORPORATION - ,OCULAR IMPLANT DELIVERY SYSTEM AND METHOD THEREOF,05-02-2009,28-05-2009,28-12-2010,
ROBERT BABAYI,LAWSON LANCE - MILLER MARLA - FULLERTON LARRY W - ROBERTS MARK D - ,CEDAR RIDGE RESEARCH - ,System for Data Card Emulation,06-01-2014,01-05-2014,03-02-2015,
THOMAS OMHOLT,NEWELL KELLY - PRASAD ABANESHWAR - ,CABOT MICROELECTRONICS CORPORATION - ,POLISHING PAD COMPRISING TRANSMISSIVE REGION,17-05-2013,12-09-2013,
ALLERGAN INC.,MANESIS NICHOLAS J. - TRILOKEKAR NIKHIL S. - LESLIE DUSTIN - CHITRE KAUSTUBH S. - ,ALLERGAN INC. - ,TISSUE EXPANDER WITH SELF-HEALING ANTERIOR SIDE,02-12-2013,27-03-2014,
CATHY WHITNEY,BANK ONE NA - ,XEROX CORPORATION - ,DISTRIBUTION OF PARTITIONABLE PHYSICAL PROPERTIES FOR MARKET BASED CONTROL OF ACTUATORS AND SENSORS,27-09-1999,27-05-2003,
CATHY WHITNEY,BANK ONE NA - ,XEROX CORPORATION - ,SYSTEM FOR EMBEDDED DIGITAL DATA THAT ALLOWS EMBEDDING OF DATA AROUND KNOWN OBSTRUCTIONS,24-09-1999,04-11-2003,
CATHY WHITNEY,BANK ONE NA - ,XEROX CORPORATION - ,MICRO REGION COUNT IMAGE TEXTURE CHARACTERIZATION,27-09-1999,19-11-2002,
CATHY WHITNEY,BANK ONE NA - ,XEROX CORPORATION - ,HIGH FREQUENCY MASKING OF EMBEDDED DIGITAL DATA TO IMPROVE APPEARANCE,24-09-1999,06-08-2002,
CATHY WHITNEY,BANK ONE NA - ,XEROX CORPORATION - ,HIGH RESOLUTION IMAGE MAPPING FOR SIMULATING HIGH RESOLUTION PRINTING USING HIGH ADDRESSABILITY WITHOUT AFFECTING HALFTONE RENDERING,24-09-1999,03-08-2004,
CATHY WHITNEY,BANK ONE NA - ,XEROX CORPORATION - ,BALLISTIC AEROSOL MARKING APPARATUS WITH STACKED ELECTRODE STRUCTURE,29-09-1999,09-07-2002,
CATHY WHITNEY,BANK ONE NA - ,XEROX CORPORATION - ,AVOIDING DEADLOCK SITUATIONS IN A PRINTING SYSTEM USING A LOCKING TIME-OUT MECHANISM,24-09-1999,07-10-2003,
CATHY WHITNEY,BANK ONE NA - ,XEROX CORPORATION - ,ELECTRONIC PRINTING OF PRINT JOBS CONTAINING JAM-PRONE SHEETS,27-09-1999,06-05-2003,
CATHY WHITNEY,BANK ONE NA - ,XEROX CORPORATION - ,ENCODING SMALL AMOUNTS OF EMBEDDED DIGITAL DATA AT ARBITRARY LOCATIONS WITHIN AN IMAGE,24-09-1999,27-08-2002,
CATHY WHITNEY,BANK ONE NA - ,XEROX CORPORATION - ,SYSTEM FOR CONTROLLING READ AND WRITE STREAMS IN A CIRCULAR FIFO BUFFER,27-09-1999,20-05-2003,
CATHY WHITNEY,BANK ONE NA - ,XEROX CORPORATION - ,TYPE-BASED SELECTION OF RULES FOR SEMANTICALLY DISAMBIGUATING WORDS,23-09-1999,11-06-2002,
CATHY WHITNEY,BANK ONE NA - ,XEROX CORPORATION - ,METHOD AND APPARATUS FOR DETERMINING HALFTONE LINE FREQUENCY ESTIMATES USING MIN/MAX DETECTION,24-09-1999,11-05-2004,
CATHY WHITNEY,BANK ONE NA - ,XEROX CORPORATION - ,HOT MELT INKS CONTAINING ALDEHYDE COPOLYMERS,23-09-1999,24-08-2004,
CATHY WHITNEY,BANK ONE NA - ,XEROX CORPORATION - ,METHOD AND APPARATUS FOR FINDING RELATED COLLECTIONS OF LINKED DOCUMENTS USING CO-CITATION ANALYSIS,29-09-1999,24-09-2002,
CATHY WHITNEY,BANK ONE NA - ,XEROX CORPORATION - ,AUTOMATIC DETECTION OF BLACK AND WHITE PAGES IN A COLOR DOCUMENT STREAM,29-09-1999,17-01-2002,13-04-2004,
